time	unit	value	date
12	h	48.6	27.10.59
12	h	53.4	16.09.60
12	h	39.8	12.11.61
12	h	35.6	20.06.62
12	h	45.6	17.07.63
12	h	39	30.08.64
12	h	24.4	25.07.65
12	h	58.2	04.11.66
12	h	30	07.11.67
12	h	26.6	29.09.68
12	h	29.4	14.01.69
12	h	33	08.08.70
12	h	24.2	24.07.72
12	h	38.2	23.08.73
12	h	20.6	10.08.74
12	h	41.6	10.07.75
12	h	36.8	30.10.76
12	h	35.8	25.07.77
12	h	43.2	24.06.78
12	h	44	21.09.79
12	h	40.6	17.10.80
12	h	63.2	18.07.81
12	h	30.6	03.01.63
12	h	40	03.04.58
12	h	35.8	03.07.66
12	h	63.6	03.12.64
12	h	86.8	31.01.86
12	h	40.8	23.08.87
12	h	39.4	12.10.88
12	h	32.2	03.07.89
12	h	39.6	25.11.90
12	h	29.4	29.07.91
12	h	35.8	29.08.92
12	h	65.6	02.10.93
12	h	38.2	01.09.94
12	h	38.4	12.07.95
12	h	54.8	22.06.96
12	h	52.8	26.06.97
12	h	45.8	07.10.98
12	h	66.8	20.09.99
12	h	43.2	20.09.00
12	h	52.8	30.06.01
12	h	40	25.05.02
12	h	32.2	27.11.03
12	h	37.2	02.07.04
12	h	25.6	04.09.05
12	h	51.4	28.07.06
12	h	35.6	10.07.07
12	h	37.5	12.04.08
12	h	29.7	04.01.72
12	h	30	04.04.05
12	h	57.5	04.08.04
12	h	69.3	04.11.52
12	h	65.8	23.10.13
12	h	44.3	06.11.14
12	h	31.2	09.05.15
12	h	48.9	05.08.16
12	h	74.9	25.06.17
12	h	60.3	28.10.18
12	h	48.4	05.04.19
12	h	56.9	06.12.20
12	h	48.6	05.08.21
12	h	30.3	25.07.22
24	h	113.4	31.01.86
24	h	108.8	18.07.81
24	h	98.6	03.11.66
24	h	93.1	28.10.18
24	h	91.8	02.10.93
24	h	90.9	04.08.05
24	h	87.4	27.10.59
24	h	84.4	21.09.79
24	h	84	06.12.20
24	h	83.4	06.11.14
24	h	83.2	26.06.97
24	h	79.6	04.12.24
24	h	75.8	03.12.85
24	h	75	25.06.17
24	h	70.8	20.09.99
24	h	68.8	18.11.52
24	h	68.1	24.10.13
24	h	66	02.07.24
24	h	65.4	06.10.98
24	h	64.6	22.08.73
24	h	64	02.10.40
24	h	63.6	21.06.96
24	h	62	16.09.60
24	h	61.8	03.04.58
24	h	61.4	25.09.42
24	h	60	02.02.95
24	h	58.7	13.09.76
24	h	58	01.04.31
24	h	57.8	24.06.78
24	h	57	15.11.02
24	h	56.8	24.08.87
24	h	56.4	12.10.88
24	h	55.8	17.10.80
24	h	55.4	02.08.53
24	h	53.8	08.10.64
24	h	53.7	07.08.19
24	h	53.6	22.11.90
24	h	53.4	13.03.51
24	h	53.4	01.07.04
24	h	53.4	14.04.62
24	h	53.2	10.07.00
24	h	53.1	05.10.21
24	h	52.8	30.06.01
24	h	51.6	09.07.37
24	h	51.4	28.07.06
24	h	51.4	05.08.16
24	h	49.6	12.06.39
24	h	49.2	12.11.61
24	h	49	09.04.67
24	h	48.2	03.08.22
24	h	47.9	10.07.07
24	h	47	12.04.08
24	h	46	04.10.92
24	h	45.8	30.03.75
24	h	45.6	17.07.63
24	h	45.2	04.01.47
24	h	43.6	12.10.58
24	h	42.4	04.10.03
24	h	41.8	01.09.94
24	h	41.2	07.09.95
24	h	41.2	10.09.65
24	h	40.5	04.04.76
24	h	40.2	12.08.41
24	h	40	10.12.54
24	h	40	30.07.77
24	h	38.6	02.07.89
24	h	37.4	20.08.70
24	h	35	14.04.50
24	h	34.6	11.10.91
24	h	34.4	12.06.72
24	h	33.8	03.02.29
24	h	33.8	12.05.68
24	h	33	14.01.69
24	h	33	16.04.36
24	h	32.6	05.03.74
24	h	31.2	09.05.15
24	h	30.4	26.07.22
24	h	29	03.10.05
24	h	27	10.09.40
